epoch,train_loss,val_loss,map,map_50,map_75,iou,precision,recall,f1,inference_ms_per_image,peak_vram_mb
1,2.440551295876503,1.8179166984558106,0.011211284436285496,0.021787282079458237,0.010418720543384552,0.224538613986969,0.0,0.0,0.0,20.506244520220207,1379.50439453125
2,1.785902470946312,1.6854697489738464,0.024777960032224655,0.043678026646375656,0.025753257796168327,0.3009866458892822,0.0,0.0,0.0,20.44642415472481,1378.83251953125
3,1.6470950347185136,1.5710315489768982,0.04746129736304283,0.07734695822000504,0.055984172970056534,0.3524705324240211,0.0,0.0,0.0,20.4861599348078,1378.78564453125
4,1.509494366645813,1.4621381735801697,0.10191256552934647,0.15483364462852478,0.11261751502752304,0.5507483592461013,0.0,0.0,0.0,20.455420935250004,1378.62353515625
5,1.409433419406414,1.3485900783538818,0.1466815173625946,0.22566922008991241,0.17443598806858063,0.5855611161625417,0.0,0.0,0.0,20.370889710029587,1377.60400390625
6,1.2268066382408143,1.0871443462371826,0.2554551661014557,0.3986806869506836,0.3036210536956787,0.4878265151045768,0.8506493506493507,0.11263972484952708,0.19893697798025814,20.408803039972554,1377.84521484375
7,1.0547472062706946,0.9324743235111237,0.33205723762512207,0.5157747864723206,0.3938891291618347,0.564175776591959,0.7719298245614035,0.3404987102321582,0.47255369928400953,20.411838675208855,1377.95361328125
8,0.9174797821044922,0.8201541948318481,0.4019848704338074,0.6492709517478943,0.45614930987358093,0.5757574548042089,0.8209876543209876,0.6861564918314703,0.7475409836065573,20.539855630267994,1379.1318359375
9,0.8191306477785111,0.7490214264392853,0.4029126465320587,0.6707483530044556,0.44132936000823975,0.5221403708649354,0.7389984825493171,0.8374892519346517,0.785167271261588,20.564072834677063,1380.83544921875
10,0.7313182237744331,0.6872561699151993,0.45757073163986206,0.7409890294075012,0.5178280472755432,0.5536676763591267,0.8719460825610783,0.8899398108340498,0.8808510638297873,20.411564755122527,1378.7333984375
11,0.6839601263403893,0.6486957406997681,0.47052136063575745,0.7513217329978943,0.5346389412879944,0.5215115805407043,0.872161480235492,0.8916595012897678,0.8818027210884354,20.421948130097007,1379.6748046875
12,0.6331976020336151,0.6334618473052979,0.4692979156970978,0.7478514909744263,0.547281801700592,0.4949446611944145,0.8001491424310216,0.9226139294926913,0.8570287539936102,20.452503559936304,1377.02685546875
13,0.6085193260014057,0.5914109247922897,0.47945621609687805,0.7455008625984192,0.5528098344802856,0.46581381444033343,0.8031437125748503,0.9226139294926913,0.8587434973989595,20.390386954895803,1374.97509765625
14,0.5642610301077365,0.5605975741147995,0.4997723698616028,0.7718374729156494,0.6018021702766418,0.4855976401444357,0.846930846930847,0.937231298366294,0.889795918367347,20.40548172990384,1378.35400390625
15,0.5286109229922294,0.5610901021957397,0.5074933767318726,0.7853170037269592,0.6024889945983887,0.6198711725191861,0.8985148514851485,0.9363714531384351,0.9170526315789473,20.500335449905833,1377.66943359375
16,0.5222834338247776,0.5380968940258026,0.5077837705612183,0.7867550849914551,0.5965874791145325,0.5362305764023584,0.8898785425101214,0.944969905417025,0.9165971643035863,20.515306814777432,1380.92333984375
17,0.50322489798069,0.5243922013044358,0.5213255882263184,0.7854569554328918,0.6320909261703491,0.5431921991217771,0.8997534921939194,0.9415305245055889,0.9201680672268907,20.503474145152722,1381.3486328125
18,0.4969174361228943,0.5137884104251862,0.5123092532157898,0.7839829921722412,0.6200201511383057,0.5421553291718653,0.8647798742138365,0.945829750644884,0.9034907597535935,20.405714610024006,1380.45458984375
19,0.4778809352219105,0.534730875492096,0.4972119629383087,0.7787824869155884,0.5737927556037903,0.5015661619285197,0.8863636363636364,0.938950988822012,0.9118997912317328,20.442629045064677,1375.57568359375
20,0.4642334674298763,0.5422321480512619,0.4973438084125519,0.7685649394989014,0.5763261318206787,0.5332201231609691,0.8295281582952816,0.937231298366294,0.8800968914008881,20.627797885463224,1380.3095703125
21,0.4492241667211056,0.48159101903438567,0.5333478450775146,0.7940772771835327,0.626654863357544,0.5696914101934384,0.9055374592833876,0.9561478933791917,0.930154746967796,20.45878757489845,1380.19677734375
22,0.4294578954577446,0.5256059515476227,0.5063182711601257,0.7858632802963257,0.6019249558448792,0.5351292025668775,0.9091666666666667,0.938091143594153,0.9234024545069827,20.53610376016877,1378.5869140625
23,0.44896551117300987,0.5146590155363083,0.5126397609710693,0.794033408164978,0.6138553023338318,0.5863594599036188,0.8798727128082736,0.9509888220120378,0.9140495867768594,20.557451260101516,1379.9501953125
24,0.4487431691586971,0.5059268718957901,0.5212979912757874,0.7893463373184204,0.6368827223777771,0.5459532232639127,0.8976441917140536,0.9501289767841788,0.9231411862990812,20.375113364934805,1380.48583984375
